T, Pr, Pm
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
165000, 550, 0 
